,Col_company,Col_recruit,Col_detail,url,site
0,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,"서울 강남구
신입
대졸↑
인턴직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50339870&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=y,saramin
1,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집","서울 강남구
신입·경력
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50357075&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=y,saramin
2,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집","서울 강남구
경력무관
대졸↑
인턴직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50351455&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=y,saramin
3,(주)씨아이템프러리,현대카드 본사 카드금융마케팅팀 사무직 채용/데이터분석/마케팅,"서울 영등포구
경력무관
학력무관
계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50269659&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n,saramin
4,한국평가데이터(주),[서비스운영 및 데이터분석] 2025년 한국평가데이터 계약직원,"서울 영등포구
경력무관
대졸↑
계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50269695&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n,saramin
5,(주)메이크인,[여의도/자체직전환/신입가능]나이스평가정보 데이터분석 채용,"서울 영등포구
경력무관
초대졸↑
계약직·파견직
3,000 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50201025&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n,saramin
6,(주)케이에스씨앤씨,[신입] 신용평가/금융데이터분석 컨설팅 인재 채용,"서울 영등포구
신입
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202952&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
7,(주)전북은행,데이터분석가 경력직 모집,"전북 전주시 덕진구
경력10년↑
대졸↑
계약직",https://www.saramin.co.kr/zf_user/company-info/view?csn=M2ttVnFiU3hHVUp2SE5xZkZFQ01MQT09,saramin
8,(주)멋쟁이사자처럼,[(주)멋쟁이자사처럼] KDT 데이터분석 부트캠프 보조강사,"서울 종로구
경력무관
학력무관
프리랜서",https://www.saramin.co.kr/zf_user/company-info/view?csn=M2ttVnFiU3hHVUp2SE5xZkZFQ01MQT09,saramin
9,서울대학교병원,서울대학교병원 생체신호 머신러닝/데이터분석 연구원 채용,"서울 종로구
경력무관
대졸↑
무기계약직·계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50330710&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
10,(주)싸인랩,[데이터분석] 데이터분석가 채용 공고,"부산 부산진구
경력무관
학력무관
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=NEdCS2pIWGVVRm80bmwrL1RqcS9FQT09,saramin
11,(주)퍼플아카데미,데이터분석가 신입/경력 채용,"서울전체
신입·경력
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=NEdCS2pIWGVVRm80bmwrL1RqcS9FQT09,saramin
12,한국호텔업협회,한국호텔업협회 대외협력팀 팀원(동향조사 및 데이터분석) 채용,"서울 중구
경력무관
초대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50361543&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
13,(주)그루넷,데이터분석/Python/JAVA/SAS 인재 채용,"서울 강남구
신입·경력
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=NEdCS2pIWGVVRm80bmwrL1RqcS9FQT09,saramin
14,(주)라이브케어,[데이터분석가] 가축 생체데이터 분석 및 AI 개발 전,"서울 강남구
신입
학력무관
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=NEdCS2pIWGVVRm80bmwrL1RqcS9FQT09,saramin
15,쿠팡(주),[쿠팡로지스틱스서비스] 물류결함 데이터분석 담당자 (신입가능),"서울 송파구
경력3년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50354859&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
16,(주)지바이크,[공유모빌리티 No.1 지쿠] 전략마케팅팀 데이터분석 전문가 모집,"서울 강남구
경력3년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=aytxc09VNTJoWEFNbTRBUjRpSHYwZz09,saramin
17,넛지헬스케어(주),[넛지헬스케어] 데이터분석 담당 산업기능요원 (병역특례),"서울 강남구
경력무관
학력무관
산업기능요원·현역",https://www.saramin.co.kr/zf_user/company-info/view?csn=aytxc09VNTJoWEFNbTRBUjRpSHYwZz09,saramin
18,넛지헬스케어(주),[넛지헬스케어] 데이터분석가 - 석사/박사,"서울 강남구
경력무관
석사↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50158018&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
19,(주)케이에스씨앤씨,[경력] 신용평가/금융데이터분석 컨설팅 인재 채용,"서울 영등포구
경력7년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=K2NERmdVR2hFUkViTGlSSkw1OUppUT09,saramin
20,닐슨아이큐서비스코리아(유),[데이터분석] Global Strategic Account Management팀,"서울 중구
경력무관
대졸↑
계약직",https://www.saramin.co.kr/zf_user/company-info/view?csn=K2NERmdVR2hFUkViTGlSSkw1OUppUT09,saramin
21,콘센트릭스서비스코리아(유),[Catalyst] GA/AA 데이터분석,"서울 강남구
경력 1~11년
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50295057&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
22,㈜얼라이언스인터넷,"얼라이언스인터넷 매체팀 공개채용(광고데이터분석, 매체관리)","서울 강남구
경력무관
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=UXpJaWJERzVXRHNaZzhGSHRwV2RlZz09,saramin
23,(주)맨파워코리아,양산 외국계기업 사무지원직 채용(엑셀상급자/데이터분석),"경남 양산시
경력무관
초대졸↑
파견직",https://www.saramin.co.kr/zf_user/company-info/view?csn=UXpJaWJERzVXRHNaZzhGSHRwV2RlZz09,saramin
24,한국정보기술(주),[한국정보기술(주)] 수도권본부-교통센터 데이터분석 인력 채용,"경기 성남시 분당구
경력무관
학력무관
계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50248252&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
25,(주)메디젠휴먼케어,메디젠휴먼케어 데이터분석 담당 경력직 채용,"서울 송파구
경력3년↑
석사↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=cjhFczdZWDN6UmdiTjdHQWtyUWRzdz09,saramin
26,㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/ Visual C++ 개발자 모집,"서울 강남구
경력무관
대졸↑
정규직
3,500 만원",https://www.saramin.co.kr/zf_user/company-info/view?csn=cjhFczdZWDN6UmdiTjdHQWtyUWRzdz09,saramin
27,(주)씨티아이랩,"데이터분석:AI 모델 개발자(신입 및 경력 3년이상, 영어능통자)","경기 성남시 수정구
신입·경력
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50320168&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
28,(주)케이아이오티,이미지 데이터분석 & 데이터셋 구축(경력무관),"대구 북구
경력무관
초대졸↑
정규직·계약직",https://www.saramin.co.kr/zf_user/company-info/view?csn=VUxIa2JRSm1SM2ZaOFcyVDBFSmVPdz09,saramin
29,(주)한국신용데이터,[데이터분석팀] Data Analyst,"서울 강남구
경력 3~7년
학력무관
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=VUxIa2JRSm1SM2ZaOFcyVDBFSmVPdz09,saramin
30,(주)해양정보기술,수치모델링/빅데이터분석 및 딥러닝 부문채용,"서울 금천구
경력무관
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50235861&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
31,(주)싸이트플래닝건축사사무소,"도시공학& 데이터분석 공고 모집 (정규직, 경력직)","부산 동구
경력3년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=dE5JclpMREdaTEhHYU1lZkRUQ25nQT09,saramin
32,(주)메디플렉서스,헬스케어데이터분석 솔루션 영업직채용,"서울 마포구
경력1년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=dE5JclpMREdaTEhHYU1lZkRUQ25nQT09,saramin
33,HR컨설팅(주),유통대기업 데이터분석가 책임 8-12년,"서울 강남구
경력 4~20년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49986277&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=87af9d2a-ce1b-4fcb-8878-fab85bd52bd9,saramin
34,(주)스카우트파트너스,온라인 CRM마케팅 (자동화.데이터분석.SQL) 대기업,"서울 강남구
경력 4~10년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=bkxZV3RnMktrZ1RGMmJTUTQ1ZmIzZz09,saramin
35,유카시스템(주),[데이터분석] 운전자 운전성향분석 빅데이터 관리 및 분,"경기 고양시 덕양구
경력2년↑
초대졸↑
정규직",https://www.saramin.co.kr/zf_user/company-info/view?csn=bkxZV3RnMktrZ1RGMmJTUTQ1ZmIzZz09,saramin
